fecha,precio
01-01-2023,100.5
02-01-2023,102.3
03-01-2023,101.8
04-01-2023,103.2
05-01-2023,105.1
06-01-2023,104.9
07-01-2023,106.2
08-01-2023,105.8
09-01-2023,107.3
10-01-2023,108.5
11-01-2023,107.9
12-01-2023,109.2
13-01-2023,108.7
14-01-2023,110.5
15-01-2023,111.2
16-01-2023,110.8
17-01-2023,112.3
18-01-2023,113.1
19-01-2023,112.9
20-01-2023,114.5
21-01-2023,115.2
22-01-2023,114.8
23-01-2023,116.3
24-01-2023,117.1
25-01-2023,116.9
26-01-2023,118.5
27-01-2023,119.2
28-01-2023,118.8
29-01-2023,120.3
30-01-2023,121.1
31-01-2023,120.9
01-02-2023,122.5
02-02-2023,123.2
03-02-2023,122.8
04-02-2023,124.3
05-02-2023,125.1
06-02-2023,124.9
07-02-2023,126.2
08-02-2023,125.8
09-02-2023,127.3
10-02-2023,128.5
11-02-2023,127.9
12-02-2023,129.2
13-02-2023,128.7
14-02-2023,130.5
15-02-2023,131.2
16-02-2023,130.8
17-02-2023,132.3
18-02-2023,133.1
19-02-2023,132.9
20-02-2023,134.5
